package	files	bytes	lines	commits	bug_commits	commits_per_kloc	bugs_per_kloc	bugs_per_commit	cognitive_complexity	complexity_per_kloc	fan_in	fan_out	committers
victor.training.petclinic.chatbot	1	1436	33	21	3	636.36	90.91	0.143	0	0.00	0	0	1
victor.training.petclinic	1	1105	30	4	0	133.33	0.00	0.000	0	0.00	0	0	1
victor.training.petclinic.repository	7	3639	144	8	0	55.56	0.00	0.000	0	0.00	15	8	1
victor.training.petclinic.security	4	4724	115	5	1	43.48	8.70	0.200	0	0.00	0	0	2
victor.training.petclinic.mcp	3	17675	373	12	0	32.17	0.00	0.000	26	69.71	1	7	1
ro.victorrentea.petclinic.db	2	6941	197	6	0	30.46	0.00	0.000	16	81.22	1	1	1
victor.training.petclinic.chatbot.triage	2	6284	141	4	0	28.37	0.00	0.000	4	28.37	1	1	1
victor.training.petclinic.rest.dto	13	12230	409	11	0	26.89	0.00	0.000	0	0.00	33	7	1
victor.training.petclinic.rest	11	33262	773	18	1	23.29	1.29	0.056	11	14.23	9	56	1
victor.training.petclinic.chatbot.diagram	1	5573	129	3	0	23.26	0.00	0.000	26	201.55	0	0	1
victor.training.petclinic.rest.error	3	9352	222	5	0	22.52	0.00	0.000	37	166.67	2	2	1
victor.training.petclinic.chatbot.assistant	9	44393	891	16	2	17.96	2.24	0.125	48	53.87	10	10	1
victor.training.petclinic.mapper	7	4869	165	2	0	12.12	0.00	0.000	0	0.00	14	25	1
victor.training.petclinic.rewrite	2	12901	287	3	0	10.45	0.00	0.000	24	83.62	1	1	1
victor.training.petclinic.chatbot.firefighter	12	33266	763	5	1	6.55	1.31	0.200	47	61.60	27	27	1
victor.training.petclinic.domain	8	8500	345	2	0	5.80	0.00	0.000	2	5.80	39	8	1
