path	bytes	lines	commits	bug_commits	commits_per_kloc	bugs_per_kloc	bugs_per_commit	cognitive_complexity	complexity_per_kloc	fan_in	fan_out	committers
petclinic-backend/src/main/java/victor/training/petclinic/security/CorsConfig.java	1058	21	3	1	142.86	47.62	0.333	0	0.00	0	0	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/SpecialtyFeed.java	1808	47	5	1	106.38	21.28	0.200	0	0.00	2	2	1
petclinic-backend/src/main/java/victor/training/petclinic/mcp/PetClinicMcp.java	10769	222	10	0	45.05	0.00	0.000	17	76.58	0	7	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/OwnerRestController.java	7641	162	8	0	49.38	0.00	0.000	0	0.00	0	16	1
petclinic-backend/src/main/java/victor/training/petclinic/repository/OwnerRepository.java	636	25	7	0	280.00	0.00	0.000	0	0.00	2	1	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/SpecialtyRestController.java	3400	73	7	0	95.89	0.00	0.000	0	0.00	1	6	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/OwnerDto.java	1827	58	7	0	120.69	0.00	0.000	0	0.00	2	1	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/SpecialtyDto.java	796	24	6	0	250.00	0.00	0.000	0	0.00	4	0	1
petclinic-database/src/main/java/ro/victorrentea/petclinic/db/PostgresLauncher.java	3150	82	6	0	73.17	0.00	0.000	5	60.98	0	1	1
petclinic-backend/src/main/java/victor/training/petclinic/mcp/McpSecurity.java	4963	109	5	0	45.87	0.00	0.000	6	55.05	1	0	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/PetTypeRestController.java	3513	80	5	0	62.50	0.00	0.000	1	12.50	0	6	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/VisitRestController.java	3480	82	5	0	60.98	0.00	0.000	0	0.00	0	6	1
petclinic-backend/src/main/java/victor/training/petclinic/PetClinicApplication.java	1105	30	4	0	133.33	0.00	0.000	0	0.00	0	0	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/VetRestController.java	3706	92	4	0	43.48	0.00	0.000	2	21.74	0	8	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/PetRestController.java	2287	60	4	0	66.67	0.00	0.000	0	0.00	0	5	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/error/ExceptionControllerAdvice.java	4269	90	4	0	44.44	0.00	0.000	0	0.00	0	2	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/ChatbotApp.java	1436	33	3	0	90.91	0.00	0.000	0	0.00	0	0	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/Service.java	1625	46	3	0	65.22	0.00	0.000	0	0.00	5	2	1
petclinic-backend/src/main/java/victor/training/petclinic/repository/UserRepository.java	245	8	3	0	375.00	0.00	0.000	0	0.00	1	1	1
petclinic-backend/src/main/java/victor/training/petclinic/security/BasicAuthenticationConfig.java	2254	54	3	0	55.56	0.00	0.000	0	0.00	0	0	2
petclinic-backend/src/main/java/victor/training/petclinic/rest/RootRestController.java	658	22	3	0	136.36	0.00	0.000	0	0.00	0	0	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/UserRestController.java	1776	49	3	0	61.22	0.00	0.000	7	142.86	0	5	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/ApiExamples.java	3477	70	3	0	42.86	0.00	0.000	0	0.00	6	0	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/OwnerFieldsDto.java	1041	36	3	0	83.33	0.00	0.000	0	0.00	2	0	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/PetTypeFieldsDto.java	337	13	3	0	230.77	0.00	0.000	0	0.00	2	0	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/VisitDto.java	1633	45	3	0	66.67	0.00	0.000	0	0.00	3	0	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/error/ValidationErrorExtractor.java	2858	74	3	0	40.54	0.00	0.000	20	270.27	1	0	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/error/ValidationErrorFieldExtractor.java	2225	58	3	0	51.72	0.00	0.000	17	293.10	1	0	1
refactoring-legacy/src/main/java/victor/training/petclinic/rewrite/ListGetFirst.java	1736	39	2	0	51.28	0.00	0.000	1	25.64	0	1	1
